               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  71,            0.033577,            0.014791,           0.0081336,             0.94434,             0.93142,             0.96063,             0.71968,            0.015318,           0.0065248,           0.0018696,           0.0082675,           0.0082675,           0.0082675
                  72,            0.033175,            0.014798,           0.0078316,             0.94029,             0.93397,             0.96003,             0.72036,            0.015294,            0.006526,           0.0019189,           0.0082428,           0.0082428,           0.0082428
                  73,             0.03283,            0.014602,           0.0073985,             0.94312,             0.93339,             0.96018,              0.7199,            0.015287,           0.0065227,           0.0018669,            0.008218,            0.008218,            0.008218
                  74,            0.033161,             0.01476,           0.0076113,             0.94112,             0.93694,             0.96022,             0.72092,            0.015243,           0.0065098,           0.0018997,           0.0081932,           0.0081932,           0.0081932
                  75,            0.032962,            0.014617,           0.0078729,             0.93893,              0.9384,              0.9602,             0.72127,            0.015262,           0.0064995,           0.0019046,           0.0081685,           0.0081685,           0.0081685
                  76,              0.0327,            0.014405,           0.0070911,             0.93722,             0.93923,             0.95999,             0.72142,            0.015275,            0.006493,           0.0019238,           0.0081437,           0.0081437,           0.0081437
                  77,            0.032944,            0.014488,           0.0077362,             0.94215,             0.93437,             0.95997,             0.72056,             0.01525,           0.0064934,           0.0018857,            0.008119,            0.008119,            0.008119
                  78,            0.032819,            0.014421,           0.0071416,             0.94448,             0.93412,             0.96009,             0.72095,             0.01521,           0.0064942,           0.0018318,           0.0080942,           0.0080942,           0.0080942
                  79,            0.032401,            0.014294,           0.0070726,             0.94463,             0.93581,             0.96024,             0.72219,            0.015197,           0.0064957,           0.0018112,           0.0080695,           0.0080695,           0.0080695
                  80,            0.032599,            0.014335,           0.0068664,             0.94775,             0.93327,             0.96123,             0.72341,            0.015212,            0.006494,           0.0017587,           0.0080447,           0.0080447,           0.0080447
                  81,            0.032657,            0.014447,           0.0071434,             0.94741,             0.93459,             0.96175,             0.72383,            0.015212,           0.0064905,            0.001735,             0.00802,             0.00802,             0.00802
                  82,            0.032495,            0.014665,           0.0067555,              0.9507,             0.93426,              0.9617,             0.72488,            0.015214,             0.00649,           0.0017269,           0.0079953,           0.0079953,           0.0079953
                  83,            0.032672,            0.014422,           0.0069868,             0.95077,             0.93571,             0.96184,              0.7251,            0.015223,           0.0064869,            0.001725,           0.0079705,           0.0079705,           0.0079705
                  84,            0.032298,            0.014477,           0.0068939,             0.95044,              0.9362,             0.96211,             0.72606,            0.015219,            0.006491,           0.0017175,           0.0079457,           0.0079457,           0.0079457
                  85,            0.032325,            0.014504,           0.0070291,             0.94936,             0.93669,             0.96235,             0.72686,            0.015209,           0.0064908,           0.0016769,            0.007921,            0.007921,            0.007921
                  86,            0.032495,            0.014389,           0.0066417,             0.94938,             0.93681,              0.9628,             0.72634,            0.015224,           0.0064917,           0.0016792,           0.0078963,           0.0078963,           0.0078963
                  87,            0.032441,            0.014363,           0.0067672,             0.94818,             0.93544,             0.96235,               0.726,            0.015234,           0.0064887,            0.001679,           0.0078715,           0.0078715,           0.0078715
                  88,            0.032458,            0.014418,           0.0072293,             0.94843,             0.93708,              0.9628,             0.72631,            0.015241,           0.0064895,           0.0016857,           0.0078467,           0.0078467,           0.0078467
                  89,            0.032546,            0.014353,           0.0075339,              0.9484,             0.93796,             0.96274,             0.72593,            0.015252,           0.0064912,           0.0016939,            0.007822,            0.007822,            0.007822
                  90,            0.032924,            0.014767,           0.0072874,               0.947,             0.93634,             0.96212,             0.72608,            0.015274,           0.0064946,           0.0017621,           0.0077973,           0.0077973,           0.0077973
